Model,Dataset,N_Training_Samples,BATCH_SIZE,LEARNING_RATE,EPOCHS,Time_Seconds,Accuracy,BIGRAM_BOOL,BINARY_BOOL
VGG19,Generated-Ethnicity,1000.0,64.0,0.001,9.0,369.08,0.8050139546394348,,
Full-NN-Training,Generated-Ethnicity,1000.0,64.0,1e-05,3.0,9.22,0.7715877437325905,,
Phi,Generated-Ethnicity,1000.0,,,,,0.5236768802228412,,
GPT,Generated-Ethnicity,1000.0,,,,,0.13333333333333333,,
ViT,Generated-Gender,1000.0,32.0,1e-05,6.0,96.427,0.9415041782729804,,
ConvNeXtBase,Generated-Gender,1000.0,32.0,1e-05,4.0,216.5576,0.9387186629526464,,
Ensemble_AllProba,Generated-Gender,1000.0,16.0,0.001,11.0,0.73,0.9387186629526464,,
Ensemble_Descriptions,Generated-Gender,1000.0,16.0,0.001,11.0,1.21,0.935933147632312,True,False
Inception,Generated-Gender,1000.0,64.0,0.001,23.0,373.43,0.9247910976409912,,
ResNet,Generated-Gender,1000.0,32.0,0.001,5.0,84.9331,0.9192200557103064,,
VGG19,Generated-Gender,1000.0,16.0,0.001,9.0,380.59,0.9192200303077698,,
Xception,Generated-Gender,1000.0,16.0,0.001,24.0,757.05,0.9136490225791932,,
Full-NN-Training,Generated-Gender,1000.0,32.0,1e-05,4.0,20.51,0.883008356545961,,
GPT,Generated-Gender,1000.0,,,,,0.8802228412256268,,
Phi,Generated-Gender,1000.0,,,,,0.8579387186629527,,
Ensemble_Descriptions,KonIQ,1000.0,64.0,0.01,11.0,0.32,0.6657381615598886,True,False
Ensemble_AllProba,KonIQ,1000.0,32.0,0.01,11.0,0.38,0.6518105849582173,,
ConvNeXtBase,KonIQ,1000.0,16.0,1e-05,11.0,450.1792,0.6295264623955432,,
ViT,KonIQ,1000.0,16.0,1e-05,10.0,174.0945,0.6128133704735376,,
ResNet,KonIQ,1000.0,16.0,0.01,6.0,148.8576,0.5459610027855153,,
Xception,KonIQ,1000.0,64.0,0.001,16.0,573.0,0.5376044511795044,,
VGG19,KonIQ,1000.0,16.0,0.01,4.0,169.08,0.5013927817344666,,
Full-NN-Training,KonIQ,1000.0,16.0,1e-05,3.0,37.67,0.5013927576601671,,
Inception,KonIQ,1000.0,64.0,0.001,14.0,228.91,0.4818941652774811,,
GPT,KonIQ,1000.0,,,,,0.4428969359331476,,
Phi,KonIQ,1000.0,,,,,0.2590529247910863,,
GPT,LogoDet-3K,1000.0,,,,,0.7047353760445683,,
Ensemble_AllProba,LogoDet-3K,1000.0,32.0,0.001,14.0,0.47,0.6016713091922006,,
Ensemble_Descriptions,LogoDet-3K,1000.0,32.0,1e-05,32.0,1.51,0.5181058495821727,True,False
Xception,LogoDet-3K,1000.0,32.0,0.001,9.0,311.33,0.5097492933273315,,
Phi,LogoDet-3K,1000.0,,,,,0.5013927576601671,,
ViT,LogoDet-3K,1000.0,32.0,1e-05,32.0,379.4769,0.4846796657381615,,
ConvNeXtBase,LogoDet-3K,1000.0,16.0,1e-05,8.0,362.3881,0.4707520891364902,,
Inception,LogoDet-3K,1000.0,16.0,0.001,8.0,137.85,0.4484679698944092,,
VGG19,LogoDet-3K,1000.0,32.0,0.001,6.0,257.69,0.4428969323635101,,
ResNet,LogoDet-3K,1000.0,32.0,0.001,2.0,77.247,0.4317548746518105,,
Full-NN-Training,LogoDet-3K,1000.0,64.0,1e-05,6.0,61.55,0.3760445682451253,,
GPT,StoreItemColor,1000.0,,,,,0.8272980501392758,,
Ensemble_AllProba,StoreItemColor,1000.0,16.0,0.001,13.0,1.17,0.8189415041782729,,
Ensemble_Descriptions,StoreItemColor,1000.0,32.0,0.001,11.0,0.44,0.8022284122562674,False,True
ConvNeXtBase,StoreItemColor,1000.0,32.0,1e-05,15.0,502.4088,0.7938718662952646,,
ViT,StoreItemColor,1000.0,16.0,1e-05,32.0,321.3407,0.7827298050139275,,
ResNet,StoreItemColor,1000.0,32.0,0.001,8.0,133.5394,0.7270194986072424,,
Phi,StoreItemColor,1000.0,,,,,0.7158774373259053,,
VGG19,StoreItemColor,1000.0,32.0,0.001,8.0,334.05,0.5097492933273315,,
Xception,StoreItemColor,1000.0,64.0,0.001,27.0,966.99,0.4735375940799713,,
Inception,StoreItemColor,1000.0,64.0,0.001,19.0,307.58,0.4623955488204956,,
Full-NN-Training,StoreItemColor,1000.0,64.0,1e-05,4.0,13.2,0.3816155988857939,,
GPT,UnBiasedEmo,1000.0,,,,,0.9136490250696379,,
Ensemble_AllProba,UnBiasedEmo,1000.0,32.0,0.01,11.0,0.39,0.8885793871866295,,
Ensemble_Descriptions,UnBiasedEmo,1000.0,64.0,0.001,11.0,0.28,0.8607242339832869,True,True
ConvNeXtBase,UnBiasedEmo,1000.0,16.0,1e-05,10.0,550.9757,0.8440111420612814,,
Phi,UnBiasedEmo,1000.0,,,,,0.8356545961002786,,
ViT,UnBiasedEmo,1000.0,32.0,1e-05,32.0,697.1499,0.7910863509749304,,
Inception,UnBiasedEmo,1000.0,64.0,0.001,19.0,329.78,0.6044568419456482,,
Xception,UnBiasedEmo,1000.0,16.0,0.01,7.0,230.45,0.6044568419456482,,
ResNet,UnBiasedEmo,1000.0,32.0,0.001,2.0,147.7386,0.5766016713091922,,
VGG19,UnBiasedEmo,1000.0,16.0,0.001,12.0,512.32,0.573816180229187,,
Full-NN-Training,UnBiasedEmo,1000.0,32.0,1e-05,4.0,97.48,0.3509749303621169,,
GPT,Unsplash-Images,1000.0,,,,,0.6518105849582173,,
Ensemble_AllProba,Unsplash-Images,1000.0,32.0,0.001,15.0,0.5,0.6434540389972145,,
ConvNeXtBase,Unsplash-Images,1000.0,16.0,1e-05,16.0,569.7128,0.6044568245125348,,
Ensemble_Descriptions,Unsplash-Images,1000.0,16.0,0.001,11.0,1.17,0.6044568245125348,False,True
Xception,Unsplash-Images,1000.0,32.0,0.001,15.0,527.62,0.5571030378341675,,
ViT,Unsplash-Images,1000.0,16.0,1e-05,32.0,373.9524,0.5515320334261838,,
Phi,Unsplash-Images,1000.0,,,,,0.5264623955431755,,
Inception,Unsplash-Images,1000.0,16.0,0.001,9.0,156.98,0.523676872253418,,
ResNet,Unsplash-Images,1000.0,64.0,0.001,3.0,78.0171,0.4540389972144846,,
VGG19,Unsplash-Images,1000.0,32.0,0.001,6.0,256.9,0.3537604510784149,,
Full-NN-Training,Unsplash-Images,1000.0,64.0,1e-05,4.0,24.56,0.1337047353760445,,
Ensemble_AllProba,good-bad,1000.0,64.0,1e-05,32.0,0.63,0.98050139275766,,
ConvNeXtBase,good-bad,1000.0,16.0,1e-05,5.0,254.3107,0.977715877437326,,
Ensemble_Descriptions,good-bad,1000.0,32.0,1e-05,32.0,1.9,0.9749303621169916,False,False
ViT,good-bad,1000.0,16.0,1e-05,4.0,90.7512,0.9693593314763232,,
GPT,good-bad,1000.0,,,,,0.935933147632312,,
Inception,good-bad,1000.0,32.0,0.01,18.0,291.77,0.9331476092338562,,
Xception,good-bad,1000.0,16.0,0.001,32.0,1021.72,0.930362105369568,,
ResNet,good-bad,1000.0,16.0,0.001,5.0,127.1584,0.9275766016713092,,
VGG19,good-bad,1000.0,64.0,0.001,19.0,794.49,0.9220055937767028,,
Phi,good-bad,1000.0,,,,,0.9220055710306406,,
Full-NN-Training,good-bad,1000.0,16.0,1e-05,3.0,50.74,0.8635097493036211,,
Ensemble_Descriptions,intel-sceneries,1000.0,16.0,0.001,11.0,1.22,0.9442896935933148,True,True
Ensemble_AllProba,intel-sceneries,1000.0,16.0,0.01,19.0,1.37,0.9331476323119776,,
ConvNeXtBase,intel-sceneries,1000.0,16.0,1e-05,4.0,207.5007,0.9303621169916436,,
ViT,intel-sceneries,1000.0,16.0,1e-05,19.0,252.5744,0.924791086350975,,
GPT,intel-sceneries,1000.0,,,,,0.924791086350975,,
Inception,intel-sceneries,1000.0,32.0,0.001,17.0,282.86,0.9080780148506165,,
Xception,intel-sceneries,1000.0,64.0,0.01,16.0,585.35,0.8969359397888184,,
Phi,intel-sceneries,1000.0,,,,,0.8523676880222841,,
ResNet,intel-sceneries,1000.0,16.0,1e-05,32.0,429.0557,0.841225626740947,,
VGG19,intel-sceneries,1000.0,32.0,0.001,9.0,386.74,0.8328690528869629,,
Full-NN-Training,intel-sceneries,1000.0,16.0,1e-05,4.0,35.74,0.5766016713091922,,
Ensemble_AllProba,sentiment,1000.0,16.0,0.01,28.0,1.86,0.6685236768802229,,
Ensemble_Descriptions,sentiment,1000.0,16.0,0.001,13.0,1.81,0.6629526462395543,False,True
Phi,sentiment,1000.0,,,,,0.6350974930362117,,
ResNet,sentiment,1000.0,32.0,0.001,2.0,79.3794,0.6155988857938719,,
ViT,sentiment,1000.0,16.0,1e-05,8.0,154.2813,0.6072423398328691,,
Inception,sentiment,1000.0,64.0,0.01,6.0,102.49,0.6044568419456482,,
Xception,sentiment,1000.0,16.0,0.001,7.0,224.54,0.5988857746124268,,
VGG19,sentiment,1000.0,32.0,1e-05,32.0,1330.44,0.5877437591552734,,
ConvNeXtBase,sentiment,1000.0,16.0,0.01,1.0,132.6479,0.5877437325905293,,
Full-NN-Training,sentiment,1000.0,16.0,0.01,1.0,67.32,0.5877437325905293,,
GPT,sentiment,1000.0,,,,,0.5403899721448467,,
GPT,AIDA,200.0,,,,,0.5069637883008357,,
Ensemble_Descriptions,AIDA,200.0,16.0,0.001,11.0,0.22,0.5041782729805014,False,False
Inception,AIDA,200.0,32.0,0.01,4.0,31.36,0.470752090215683,,
ViT,AIDA,200.0,64.0,1e-05,32.0,219.6246,0.4568245125348189,,
VGG19,AIDA,200.0,32.0,0.001,7.0,121.28,0.4317548871040344,,
ConvNeXtBase,AIDA,200.0,64.0,1e-05,6.0,118.0468,0.4206128133704735,,
Xception,AIDA,200.0,16.0,0.01,9.0,118.02,0.417827308177948,,
Full-NN-Training,AIDA,200.0,64.0,0.001,1.0,21.13,0.4122562674094708,,
Ensemble_AllProba,AIDA,200.0,32.0,0.01,11.0,0.61,0.4094707520891364,,
ResNet,AIDA,200.0,16.0,0.001,2.0,38.5574,0.3983286908077994,,
Phi,AIDA,200.0,,,,,0.35376044568245124,,
Ensemble_AllProba,Brand-Styles,200.0,16.0,0.01,12.0,1.3,0.8523676880222841,,
GPT,Brand-Styles,200.0,,,,,0.841225626740947,,
Ensemble_Descriptions,Brand-Styles,200.0,64.0,0.01,12.0,0.11,0.6573816155988857,True,True
ConvNeXtBase,Brand-Styles,200.0,16.0,1e-05,32.0,378.4165,0.6434540389972145,,
ViT,Brand-Styles,200.0,16.0,1e-05,32.0,211.4006,0.4707520891364902,,
Xception,Brand-Styles,200.0,16.0,0.01,8.0,106.21,0.4484679698944092,,
VGG19,Brand-Styles,200.0,32.0,0.001,12.0,226.98,0.417827308177948,,
Phi,Brand-Styles,200.0,,,,,0.3955431754874652,,
Inception,Brand-Styles,200.0,32.0,0.001,19.0,130.55,0.3621169924736023,,
ResNet,Brand-Styles,200.0,64.0,0.001,4.0,54.6919,0.309192200557103,,
Full-NN-Training,Brand-Styles,200.0,16.0,1e-05,2.0,10.17,0.2618384401114206,,
Ensemble_AllProba,BrandSelfie,200.0,64.0,0.01,13.0,0.67,0.9331476323119776,,
Ensemble_Descriptions,BrandSelfie,200.0,16.0,0.001,11.0,0.26,0.924791086350975,True,False
ViT,BrandSelfie,200.0,16.0,1e-05,32.0,224.948,0.924791086350975,,
ConvNeXtBase,BrandSelfie,200.0,16.0,1e-05,18.0,289.0204,0.9192200557103064,,
ResNet,BrandSelfie,200.0,32.0,0.001,5.0,71.3896,0.8495821727019499,,
Inception,BrandSelfie,200.0,64.0,0.01,19.0,134.22,0.8412256240844727,,
Xception,BrandSelfie,200.0,64.0,0.001,32.0,462.54,0.8412256240844727,,
VGG19,BrandSelfie,200.0,16.0,0.001,11.0,238.57,0.7409470677375793,,
GPT,BrandSelfie,200.0,,,,,0.7047353760445683,,
Full-NN-Training,BrandSelfie,200.0,16.0,0.01,1.0,15.96,0.5738161559888579,,
Phi,BrandSelfie,200.0,,,,,0.5598885793871866,,
GPT,E-Commerce,200.0,,,,,0.7576601671309192,,
Ensemble_AllProba,E-Commerce,200.0,64.0,0.01,18.0,0.13,0.7191011235955056,,
Phi,E-Commerce,200.0,,,,,0.6128133704735376,,
